Timestamp,Protocol,Source IP,Source Port,Destination IP,Destination Port,Packet Size,TCP Flags
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,106,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,515,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,496,-
2026-08-30 14:14:05,TCP,192.168.1.111,52091,159.124.61.107,443,125,PA
2026-08-30 14:14:05,TCP,192.168.1.111,52091,159.124.61.107,443,333,PA
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,491,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,458,-
2026-08-30 14:14:05,TCP,159.124.61.107,443,192.168.1.111,52091,606,PA
2026-08-30 14:14:05,TCP,192.168.1.111,52091,159.124.61.107,443,54,A
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,56788,231,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,449,-
2026-08-30 14:14:05,TCP,192.168.1.111,52091,159.124.61.107,443,97,PA
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,TCP,192.168.1.111,52091,159.124.61.107,443,92,PA
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,TCP,20.184.175.16,443,192.168.1.111,49366,153,PA
2026-08-30 14:14:05,TCP,192.168.1.111,49366,20.184.175.16,443,89,PA
2026-08-30 14:14:05,TCP,20.184.175.4,443,192.168.1.111,56731,5862,A
2026-08-30 14:14:05,TCP,20.184.175.4,443,192.168.1.111,56731,883,PA
2026-08-30 14:14:05,TCP,192.168.1.111,56731,20.184.175.4,443,54,A
2026-08-30 14:14:05,TCP,192.168.1.111,56731,20.184.175.4,443,1494,A
2026-08-30 14:14:05,TCP,192.168.1.111,56731,20.184.175.4,443,1494,A
2026-08-30 14:14:05,TCP,192.168.1.111,56731,20.184.175.4,443,1494,A
2026-08-30 14:14:05,TCP,192.168.1.111,56731,20.184.175.4,443,1494,A
2026-08-30 14:14:05,TCP,192.168.1.111,56731,20.184.175.4,443,1348,PA
2026-08-30 14:14:05,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,56788,371,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,455,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
